patent_id,patent_number,country,publication_date,family_id,title,surface_forms,n_mentions,hit_clms
21432737,EP-3011032-B1,EP,2019-10-16,52105123,"DELIVERY, ENGINEERING AND OPTIMIZATION OF SYSTEMS, METHODS AND COMPOSITIONS FOR TARGETING AND MODELING DISEASES AND DISORDERS OF POST MITOTIC CELLS","[""Glucokinase (hexokinase 4) regulator""]",1,
15116858,EP-3011034-A1,EP,2016-04-27,52105124,"DELIVERY, USE AND THERAPEUTIC APPLICATIONS OF THE CRISPR-CAS SYSTEMS AND COMPOSITIONS FOR TARGETING DISORDERS AND DISEASES USING VIRAL COMPONENTS","[""Glucokinase (hexokinase 4) regulator""]",1,
21068768,EP-3011034-B1,EP,2019-08-07,52105124,"DELIVERY, USE AND THERAPEUTIC APPLICATIONS OF THE CRISPR-CAS SYSTEMS AND COMPOSITIONS FOR TARGETING DISORDERS AND DISEASES USING VIRAL COMPONENTS","[""Glucokinase (hexokinase 4) regulator""]",1,
15407754,EP-3031921-A1,EP,2016-06-15,49883289,"DELIVERY, ENGINEERING AND OPTIMIZATION OF SYSTEMS, METHODS AND COMPOSITIONS FOR SEQUENCE MANIPULATION AND THERAPEUTIC APPLICATIONS","[""Glucokinase (hexokinase 4) regulator""]",1,
53055337,EP-3031921-B1,EP,2025-03-12,49883289,"DELIVERY, ENGINEERING AND OPTIMIZATION OF SYSTEMS, METHODS AND COMPOSITIONS FOR SEQUENCE MANIPULATION AND THERAPEUTIC APPLICATIONS","[""Glucokinase (hexokinase 4) regulator""]",1,
16041036,EP-3079725-A1,EP,2016-10-19,52273585,"DELIVERY, USE AND THERAPEUTIC APPLICATIONS OF THE CRISPR-CAS SYSTEMS AND COMPOSITIONS FOR GENOME EDITING","[""Glucokinase (hexokinase 4) regulator""]",1,
21430966,EP-3079725-B1,EP,2019-10-16,52273585,"DELIVERY, USE AND THERAPEUTIC APPLICATIONS OF THE CRISPR-CAS SYSTEMS AND COMPOSITIONS FOR GENOME EDITING","[""Glucokinase (hexokinase 4) regulator""]",1,
16040354,EP-3079726-A2,EP,2016-10-19,53371970,"DELIVERY, USE AND THERAPEUTIC APPLICATIONS OF THE CRISPR-CAS SYSTEMS AND COMPOSITIONS FOR TARGETING DISORDERS AND DISEASES USING PARTICLE DELIVERY COMPONENTS","[""Glucokinase (hexokinase 4) regulator""]",1,
19840709,EP-3079726-B1,EP,2018-12-05,53371970,"DELIVERY, USE AND THERAPEUTIC APPLICATIONS OF THE CRISPR-CAS SYSTEMS AND COMPOSITIONS FOR TARGETING DISORDERS AND DISEASES USING PARTICLE DELIVERY COMPONENTS","[""Glucokinase (hexokinase 4) regulator""]",1,
16127883,EP-3089748-A1,EP,2016-11-09,53494054,TREATING OCULAR NEOVASCULARIZATION,"[""GKRP""]",2,
16565165,EP-3129393-A1,EP,2017-02-15,56345216,CRISPR ENZYME MUTATIONS REDUCING OFF-TARGET EFFECTS,"[""Glucokinase (hexokinase 4) regulator""]",2,
24583433,EP-3129393-B1,EP,2021-08-04,56345216,CRISPR ENZYME MUTATIONS REDUCING OFF-TARGET EFFECTS,"[""Glucokinase (hexokinase 4) regulator""]",2,
16881724,EP-3164420-A1,EP,2017-05-10,55019915,TARGETED CONJUGATES AND PARTICLES AND FORMULATIONS THEREOF,"[""Glucokinase (hexokinase 4) regulator""]",1,
17870087,EP-3233101-A1,EP,2017-10-25,56127659,GRAPE PRODUCTS FOR NONALCOHOLIC FATTY LIVER DISEASE AND OTHER USES,"[""glucokinase regulatory protein""]",1,
18672475,EP-3305900-A1,EP,2018-04-11,38001974,ENZYMATIC ENCODING METHODS FOR EFFICIENT SYNTHESIS OF LARGE LIBRARIES,"[""Glucokinase regulator"", ""glucokinase regulatory protein""]",3,
24525439,EP-3305900-B1,EP,2021-07-21,38001974,ENZYMATIC ENCODING METHODS FOR EFFICIENT SYNTHESIS OF LARGE LIBRARIES,"[""Glucokinase regulator"", ""glucokinase regulatory protein""]",3,
18751575,EP-3310917-A1,EP,2018-04-25,55274964,NOVEL CRISPR ENZYMES AND SYSTEMS,"[""Glucokinase (hexokinase 4) regulator""]",1,
21764970,EP-3310917-B1,EP,2020-02-12,55274964,NOVEL CRISPR ENZYMES AND SYSTEMS,"[""Glucokinase (hexokinase 4) regulator""]",1,
54197069,EP-3310917-B2,EP,2025-09-03,55274964,NOVEL CRISPR ENZYMES AND SYSTEMS,"[""Glucokinase (hexokinase 4) regulator""]",1,
18914149,EP-3327127-A1,EP,2018-05-30,49883289,"DELIVERY, ENGINEERING AND OPTIMIZATION OF SYSTEMS, METHODS AND COMPOSITIONS FOR SEQUENCE MANIPULATION AND THERAPEUTIC APPLICATIONS","[""Glucokinase (hexokinase 4) regulator""]",1,
